"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Acss1.1",4.12876943651062e-52,0.319327301612507,0.154,0.02,8.43136006629835e-48,"SMC_4","Acss1"
"Rpl28.5",4.26635902357961e-52,-0.705766508745596,0.971,0.988,8.71233176205193e-48,"SMC_4","Rpl28"
"Cacna1c.1",6.72062898619729e-52,0.715581483253223,0.397,0.119,1.37241964527135e-47,"SMC_4","Cacna1c"
"Gsn.10",7.61032317977337e-52,-3.7655924839642,0.875,0.893,1.55410409654152e-47,"SMC_4","Gsn"
"Sulf2.8",1.42857682448742e-51,-1.39508401222882,0.07,0.549,2.91729673328576e-47,"SMC_4","Sulf2"
"Fstl1.10",2.89012034630523e-51,-1.52201331934208,0.676,0.831,5.90191475918991e-47,"SMC_4","Fstl1"
"Ckb.7",4.37655442149396e-51,1.42078820506462,0.827,0.641,8.93736178413281e-47,"SMC_4","Ckb"
"Col5a1.9",4.61366788760317e-51,-1.34580259765894,0.14,0.6,9.42157119327444e-47,"SMC_4","Col5a1"
"2900026A02Rik.8",5.00854253558726e-51,1.06071958575353,0.621,0.29,1.02279447119228e-46,"SMC_4","2900026A02Rik"
"Mob2.5",5.41713331700165e-51,1.04977332153589,0.614,0.282,1.10623279466491e-46,"SMC_4","Mob2"
"Actb.11",1.33838715868187e-50,0.657994423224919,1,0.996,2.73312041674425e-46,"SMC_4","Actb"
"Igf1.11",1.78949101749131e-50,-2.31039412353975,0.033,0.519,3.65431960681901e-46,"SMC_4","Igf1"
"Rps16.2",2.23224138272185e-50,-0.698037922114327,0.963,0.988,4.55846012765629e-46,"SMC_4","Rps16"
"Spry4.1",2.27138212531327e-50,0.833499316258009,0.371,0.107,4.63838943810224e-46,"SMC_4","Spry4"
"Asb4",3.63392546703698e-50,0.314210103240013,0.121,0.013,7.42083919623621e-46,"SMC_4","Asb4"
"Rpl32.6",3.73790562819465e-50,-0.75529185061142,0.967,0.985,7.6331770833363e-46,"SMC_4","Rpl32"
"Mtss2",4.42724070200883e-50,0.667500575511102,0.393,0.118,9.04086823757224e-46,"SMC_4","Mtss2"
"Slc4a3.2",6.08429574435814e-50,0.702168865804123,0.423,0.135,1.24247403395538e-45,"SMC_4","Slc4a3"
"Jph2.10",6.19467730199582e-50,0.697613482197427,0.54,0.196,1.26501505184057e-45,"SMC_4","Jph2"
"Islr.10",8.89449847832286e-50,-1.50560572324069,0.243,0.663,1.81634553425831e-45,"SMC_4","Islr"
"Inf2.1",8.93412444725188e-50,0.501589099651084,0.335,0.086,1.82443755337331e-45,"SMC_4","Inf2"
"mt-Nd1.7",1.08508969703691e-49,0.668480983672587,0.993,0.985,2.21586167031908e-45,"SMC_4","mt-Nd1"
"Rps27a.3",1.2452363287365e-49,-0.755569046648139,0.974,0.99,2.54289710691281e-45,"SMC_4","Rps27a"
"Pde1b",1.60401055565404e-49,0.301456769677231,0.143,0.019,3.27554995570111e-45,"SMC_4","Pde1b"
"Anxa2.8",2.04217173213363e-49,-1.15282878702228,0.544,0.85,4.17031889419008e-45,"SMC_4","Anxa2"
"Filip1.10",2.05913231391644e-49,1.02657275023973,0.662,0.309,4.20495409824876e-45,"SMC_4","Filip1"
"Ngf.1",2.44790197326846e-49,0.578209330410213,0.283,0.064,4.99886061961153e-45,"SMC_4","Ngf"
"1700120C14Rik",3.80199624288177e-49,0.281095891674729,0.151,0.02,7.76405652758885e-45,"SMC_4","1700120C14Rik"
"Epb41.4",5.06549499926845e-49,0.82938140741513,0.544,0.207,1.03442473380061e-44,"SMC_4","Epb41"
