"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Wbp11",3.3285937125834e-12,0.668454344329817,0.929,0.466,6.79732122046657e-08,"Mac_4","Wbp11"
"Pgk1.4",3.34440683578646e-12,0.830701738647896,0.929,0.523,6.82961319935953e-08,"Mac_4","Pgk1"
"Calu.9",3.64589460307666e-12,-1.20150039347767,0.548,0.807,7.44528136894284e-08,"Mac_4","Calu"
"Clec4e.3",3.87671832782384e-12,0.439175015702909,0.143,0.014,7.91664649724906e-08,"Mac_4","Clec4e"
"Bloc1s2.2",3.96883026586509e-12,0.413437012600257,0.571,0.167,8.1047482859231e-08,"Mac_4","Bloc1s2"
"Thoc6",3.97987066454187e-12,0.263977721875251,0.476,0.113,8.12729388406096e-08,"Mac_4","Thoc6"
"Tns1.16",4.12793571374179e-12,-1.86531512005772,0.357,0.783,8.42965752103211e-08,"Mac_4","Tns1"
"Ube2i.1",4.21013956131237e-12,0.957598413298008,0.976,0.685,8.597525998156e-08,"Mac_4","Ube2i"
"Glipr1.10",4.28800044446457e-12,0.668529742260212,0.524,0.153,8.7565257076411e-08,"Mac_4","Glipr1"
"Zbtb8os",4.31735272745279e-12,0.502321344111833,0.762,0.282,8.81646600473133e-08,"Mac_4","Zbtb8os"
"Pkn1.5",4.44263253098283e-12,0.542967812512709,0.738,0.27,9.07229989152005e-08,"Mac_4","Pkn1"
"Oaz1.5",4.45352317709875e-12,0.620396037124431,1,0.965,9.09453967995336e-08,"Mac_4","Oaz1"
"Prelid3b",5.1356736984909e-12,0.477984568990673,0.69,0.249,1.04875592596883e-07,"Mac_4","Prelid3b"
"Cdk6.5",5.18835350071077e-12,0.554591271363117,0.524,0.148,1.05951366838015e-07,"Mac_4","Cdk6"
"Pmp22.16",5.20544123216298e-12,-1.46533313159636,0.262,0.815,1.06300315402e-07,"Mac_4","Pmp22"
"Brpf1.1",5.40892324165491e-12,0.390228442685277,0.5,0.136,1.10455621517835e-07,"Mac_4","Brpf1"
"Srsf2.1",5.57001561317784e-12,0.923705780902608,0.976,0.741,1.13745288836705e-07,"Mac_4","Srsf2"
"Sp100.10",5.57446538535119e-12,0.571808809213207,0.619,0.191,1.13836157634257e-07,"Mac_4","Sp100"
"Nhp2.1",5.59324216768803e-12,0.725487335219424,0.833,0.358,1.14219598306357e-07,"Mac_4","Nhp2"
"Daxx",5.6937629672483e-12,0.404442127102094,0.571,0.162,1.16272333554178e-07,"Mac_4","Daxx"
"Lsm3.1",5.76842584513847e-12,0.753569378302848,0.833,0.404,1.17797024183573e-07,"Mac_4","Lsm3"
